No_x,Compound,Affinity (kcal/mol),CNN Pose Score,CNN Affinity,No_y,Best Pose,PLANTS Score
1,1-Decen-3-yne,-3.46,0.7915,3.924,89,1-Decen-3-yne_spores_entry_00001_conf_01,-64.7359
2,1-Oxacyclopentadecan-2-one__15-isopropenyl,-5.16,0.494,4.819,87,1-Oxacyclopentadecan-2-one__15-isopropenyl_spores_entry_00001_conf_01,-65.7275
3,1_2-Epoxynonane,-3.25,0.8371,3.771,91,1_2-Epoxynonane_spores_entry_00001_conf_01,-63.6525
4,1_2_3_4-Tetrahydropyrimidine-5-carboxylic_acid__4-_2_4-dimethoxyphenyl_-6-methyl-2-oxo__ethyl_ester,-6.32,0.8745,5.473,78,1_2_3_4-Tetrahydropyrimidine-5-carboxylic_acid__4-_2_4-dimethoxyphenyl_-6-methyl-2-oxo__ethyl_ester_spores_entry_00001_conf_01,-70.2534
5,1_3_4-Thiadiazole-2-amine__5-methoxy-N-methyl-,-0.12,0.9128,2.847,98,1_3_4-Thiadiazole-2-amine__5-methoxy-N-methyl-_spores_entry_00001_conf_01,-44.2958
6,2-Cyclohexylpiperidine,-4.66,0.7166,3.614,83,2-Cyclohexylpiperidine_spores_entry_00001_conf_01,-67.8116
7,2-Octen-1-ol__3_7-dimethyl-,-4.15,0.6204,3.641,80,2-Octen-1-ol__3_7-dimethyl-_spores_entry_00001_conf_01,-70.1301
8,2H-1-Benzopyran-2-one,-6.78,0.7805,3.696,88,2H-1-Benzopyran-2-one_spores_entry_00001_conf_01,-64.8167
9,2_3-Butanediol_glucoside,-4.75,0.5905,3.061,84,2_3-Butanediol_glucoside_spores_entry_00001_conf_01,-67.1603
10,2_5-di-tert-Butylalanine,-4.38,0.5631,4.058,90,2_5-di-tert-Butylalanine_spores_entry_00001_conf_01,-64.1827
11,4-Androsten-6α-ol-3_17-dione,-7.78,0.754,5.806,73,4-Androsten-6α-ol-3_17-dione_spores_entry_00001_conf_01,-70.8842
12,4H-1-Benzopyran-4-one__3-hydroxy-2-phenyl-,-7.45,0.7264,5.659,45,4H-1-Benzopyran-4-one__3-hydroxy-2-phenyl-_spores_entry_00001_conf_01,-79.2239
13,4H-1-Benzopyran-4-one__3_5_7-trihydroxy-2-_4-hydroxy-3-methoxyphenyl_-,-7.63,0.9169,5.705,28,4H-1-Benzopyran-4-one__3_5_7-trihydroxy-2-_4-hydroxy-3-methoxyphenyl_-_spores_entry_00001_conf_01,-84.8548
14,4_9_13_17-Tetramethyl-4_8_12_16-octadecatetraenal,-6.66,0.4048,5.559,29,4_9_13_17-Tetramethyl-4_8_12_16-octadecatetraenal_spores_entry_00001_conf_01,-84.5336
15,5-Hexenoic_acid___9-decen-2-yl__ester,-5.15,0.616,5.256,75,5-Hexenoic_acid___9-decen-2-yl__ester_spores_entry_00001_conf_01,-70.7507
16,6-Heneicosen-11-one__Z_,-4.33,0.4395,5.292,43,6-Heneicosen-11-one__Z__spores_entry_00001_conf_01,-80.5164
17,6-_1-_4-Methylphenyl_ethyl_-1_3-benzodioxol-5-ol,-6.92,0.708,4.73,54,6-_1-_4-Methylphenyl_ethyl_-1_3-benzodioxol-5-ol_spores_entry_00001_conf_01,-76.3412
