No,Compound,Best Mode,Affinity (kcal/mol),CNN Pose Score,CNN Affinity
1,Asparanin_B,8,-11.71,0.4279,6.173
2,Albanol_A,8,-11.03,0.415,6.379
3,Gambiriin_A3,4,-10.87,0.4467,6.578
4,Isoorientin_7-glucoside,4,-10.52,0.3305,5.355
5,Orcein,1,-10.51,0.6733,6.61
6,Xanthoaphin,9,-10.2,0.469,5.585
7,Campesteryl_p-coumarate,7,-10.14,0.3661,6.731
8,Pedaliin,2,-9.98,0.6831,5.703
9,Quercetin,2,-9.95,0.6875,5.443
10,Epigallocatechin,1,-9.86,0.759,5.461
11,Catechin_gallate,8,-9.82,0.5905,5.92
12,Catechin,3,-9.81,0.6811,5.115
13,Atractyloside,2,-9.8,0.5797,6.422
14,Epicatechin_gallate,2,-9.64,0.6177,5.442
15,Kaempferol,8,-9.36,0.5788,5.085
16,Chrysin,2,-9.3,0.6176,4.912
17,Phaeophorbide_a,8,-9.29,0.3501,6.651
18,Belladonnine,4,-9.27,0.4559,6.433
19,Myricitrin,4,-9.27,0.5141,5.214
20,Auriculine,9,-9.25,0.3052,5.513
21,Hordatine_A,7,-9.2,0.3725,6.079
22,Yohimbine,3,-9.2,0.5511,5.677
23,Hyperoside,4,-9.15,0.5556,5.384
24,Erythromycin_E,3,-9.14,0.6481,6.526
25,Saphenamycin,1,-9.12,0.8315,6.135
26,Americanin_B,4,-9.11,0.5661,5.301
27,Sitagliptin,5,-9.02,0.3091,5.566
28,Aurasperone_D,7,-8.81,0.1966,6.32
29,Dulxanthone_B,4,-8.8,0.5181,6.206
30,Quercetin_hexoside,7,-8.79,0.4169,4.567
31,Naptho_2_3-c_furan-1_3H_-one_derivative,5,-8.76,0.5385,3.93
32,Allosamidine,3,-8.73,0.5021,4.726
33,Phaeophorbide_b,3,-8.73,0.4764,6.933
34,Glyceryl_lactopalmitate,2,-8.54,0.4356,6.41
35,β-D-Galactopyranosyl-_1_4_-β-D-galactopyranosyl-_1_4_-D-galactose,4,-8.54,0.5486,4.195
36,Flavidulol_C,5,-8.38,0.2497,5.997
37,Crosatoside_B,5,-8.37,0.51,4.136
38,Cytochalasin_N,2,-8.29,0.615,5.873
39,Native_Ligand,2,-8.24,0.7485,6.768
40,Euphornin,7,-8.24,0.3679,6.026
41,Maritimetin,1,-8.18,0.8462,5.26
42,Androsterone,5,-8.11,0.5457,5.204
