No,Compound,Best Pose,PLANTS Score
1,Hordatine_A_spores,Hordatine_A_spores_entry_00001_conf_01,-119.114
2,Leukotriene_F4_spores,Leukotriene_F4_spores_entry_00001_conf_01,-114.193
3,Gambiriin_A3_spores,Gambiriin_A3_spores_entry_00001_conf_01,-111.663
4,Auriculine_spores,Auriculine_spores_entry_00001_conf_01,-99.5105
5,Dulxanthone_B_spores,Dulxanthone_B_spores_entry_00001_conf_01,-99.2306
6,Epicatechin_gallate_spores,Epicatechin_gallate_spores_entry_00001_conf_01,-98.8714
7,Albanol_A_spores,Albanol_A_spores_entry_00001_conf_01,-97.298
8,Catechin_spores,Catechin_spores_entry_00001_conf_01,-95.9081
9,Phaeophorbide_a_spores,Phaeophorbide_a_spores_entry_00001_conf_01,-94.2563
10,Asparanin_B_spores,Asparanin_B_spores_entry_00001_conf_01,-93.7583
11,Campesteryl_p-coumarate_spores,Campesteryl_p-coumarate_spores_entry_00001_conf_01,-93.6164
12,Americanin_B_spores,Americanin_B_spores_entry_00001_conf_01,-93.4696
13,Isoorientin_7-glucoside_spores,Isoorientin_7-glucoside_spores_entry_00001_conf_01,-92.8857
14,___-Gallocatechin_spores,___-Gallocatechin_spores_entry_00001_conf_01,-92.1936
15,Epigallocatechin_spores,Epigallocatechin_spores_entry_00001_conf_01,-91.1878
16,Sitagliptin_spores,Sitagliptin_spores_entry_00001_conf_01,-90.6919
17,Crosatoside_B_spores,Crosatoside_B_spores_entry_00001_conf_01,-90.3139
18,Belladonnine_spores,Belladonnine_spores_entry_00001_conf_01,-90.0085
19,Phaeophorbide_b_spores,Phaeophorbide_b_spores_entry_00001_conf_01,-89.2697
20,Chrysin_spores,Chrysin_spores_entry_00001_conf_01,-87.8062
21,Catechin_gallate_spores,Catechin_gallate_spores_entry_00001_conf_01,-87.693
22,Orcein_spores,Orcein_spores_entry_00001_conf_01,-87.4162
23,Heneicosanoic_acid__methyl_ester_spores,Heneicosanoic_acid__methyl_ester_spores_entry_00001_conf_01,-87.0967
24,Methoxyacetic_acid__heptadecyl_ester_spores,Methoxyacetic_acid__heptadecyl_ester_spores_entry_00001_conf_01,-86.4692
25,Yohimbine_spores,Yohimbine_spores_entry_00001_conf_01,-86.296
26,Jasmolone_glucoside_spores,Jasmolone_glucoside_spores_entry_00001_conf_01,-85.7594
27,Xanthoaphin_spores,Xanthoaphin_spores_entry_00001_conf_01,-85.4246
28,4H-1-Benzopyran-4-one__3_5_7-trihydroxy-2-_4-hydroxy-3-methoxyphenyl_-_spores,4H-1-Benzopyran-4-one__3_5_7-trihydroxy-2-_4-hydroxy-3-methoxyphenyl_-_spores_entry_00001_conf_01,-84.8548
29,4_9_13_17-Tetramethyl-4_8_12_16-octadecatetraenal_spores,4_9_13_17-Tetramethyl-4_8_12_16-octadecatetraenal_spores_entry_00001_conf_01,-84.5336
30,Allosamidine_spores,Allosamidine_spores_entry_00001_conf_01,-84.3188
31,9-Hexadecenoic_acid_spores,9-Hexadecenoic_acid_spores_entry_00001_conf_01,-83.5742
32,Flavidulol_C_spores,Flavidulol_C_spores_entry_00001_conf_01,-83.4411
33,β-D-Galactopyranosyl-_1_4_-β-D-galactopyranosyl-_1_4_-D-galactose_spores,β-D-Galactopyranosyl-_1_4_-β-D-galactopyranosyl-_1_4_-D-galactose_spores_entry_00001_conf_01,-83.2954
34,Pedaliin_spores,Pedaliin_spores_entry_00001_conf_01,-83.1217
35,Oleic_acid__methyl_ester_spores,Oleic_acid__methyl_ester_spores_entry_00001_conf_01,-83.0716
36,Kaempferol_spores,Kaempferol_spores_entry_00001_conf_01,-83.0583
37,Retapamulin_spores,Retapamulin_spores_entry_00001_conf_01,-83.0355
38,Nonadecane-2_4-dione_spores,Nonadecane-2_4-dione_spores_entry_00001_conf_01,-82.9926
39,Maritimetin_spores,Maritimetin_spores_entry_00001_conf_01,-81.2954
40,Cyclobutanecarboxylic_acid__heptadecyl_ester_spores,Cyclobutanecarboxylic_acid__heptadecyl_ester_spores_entry_00001_conf_01,-81.1412
41,Oleic_acid_spores,Oleic_acid_spores_entry_00001_conf_01,-81.1196
42,Oxirane___hexadecyloxy_methyl-_spores,Oxirane___hexadecyloxy_methyl-_spores_entry_00001_conf_01,-80.5426
43,6-Heneicosen-11-one__Z__spores,6-Heneicosen-11-one__Z__spores_entry_00001_conf_01,-80.5164
44,Corynan-17-ol__18_19-didehydro-10-methoxy-__acetate_spores,Corynan-17-ol__18_19-didehydro-10-methoxy-__acetate_spores_entry_00001_conf_01,-80.4374
45,4H-1-Benzopyran-4-one__3-hydroxy-2-phenyl-_spores,4H-1-Benzopyran-4-one__3-hydroxy-2-phenyl-_spores_entry_00001_conf_01,-79.2239
