Rank,No_x,Compound,Best Mode,Affinity (kcal/mol),CNN Pose Score,CNN Affinity,No_y,Best Pose,PLANTS Score,GNINA_norm,PLANTS_norm,Consensus Score
Reference,39,Native_Ligand,2,-8.24,0.7485,6.768,67,Native_Ligand_spores_entry_00001_conf_01,-72.7689,0.5167130919220055,0.3805638200330936,0.4486384559775496
1,3,Gambiriin_A3,4,-10.87,0.4467,6.578,3,Gambiriin_A3_spores_entry_00001_conf_01,-111.663,0.8830083565459608,0.9004119318561525,0.8917101442010567
2,1,Asparanin_B,8,-11.71,0.4279,6.173,10,Asparanin_B_spores_entry_00001_conf_01,-93.7583,1.0,0.6611025124902765,0.8305512562451383
3,21,Hordatine_A,7,-9.2,0.3725,6.079,1,Hordatine_A_spores_entry_00001_conf_01,-119.114,0.65041782729805,1.0,0.825208913649025
4,2,Albanol_A,8,-11.03,0.415,6.379,7,Albanol_A_spores_entry_00001_conf_01,-97.298,0.9052924791086348,0.7084131935812409,0.8068528363449379
5,4,Isoorientin_7-glucoside,4,-10.52,0.3305,5.355,13,Isoorientin_7-glucoside_spores_entry_00001_conf_01,-92.8857,0.8342618384401113,0.6494395748628007,0.7418507066514559
6,14,Epicatechin_gallate,2,-9.64,0.6177,5.442,6,Epicatechin_gallate_spores_entry_00001_conf_01,-98.8714,0.7116991643454039,0.7294428361013763,0.72057100022339
7,7,Campesteryl_p-coumarate,7,-10.14,0.3661,6.731,11,Campesteryl_p-coumarate_spores_entry_00001_conf_01,-93.6164,0.7813370473537604,0.6592059151382952,0.7202714812460278
8,12,Catechin,3,-9.81,0.6811,5.115,8,Catechin_spores_entry_00001_conf_01,-95.9081,0.7353760445682451,0.6898361628587697,0.7126061037135074
9,5,Orcein,1,-10.51,0.6733,6.61,22,Orcein_spores_entry_00001_conf_01,-87.4162,0.8328690807799441,0.5763357044141666,0.7046023925970554
10,20,Auriculine,9,-9.25,0.3052,5.513,4,Auriculine_spores_entry_00001_conf_01,-99.5105,0.6573816155988857,0.7379848753378188,0.6976832454683523
